rank,title,price,sold,shop,location,url,image
32,街头棒球外套女夏季短款新款修身,38.9,1200+,运动潮流店,深圳,https://item.taobao.com/item.htm?id=722106220610,
33,辣妹无袖球衣女夏季短款新款修身,75.5,1300+,潮牌集合店,佛山,https://item.taobao.com/item.htm?id=621763171858,
34,oversize篮球背心女夏季数字刺绣新款修身,75.9,1000+,韩都衣舍旗舰店,杭州,https://item.taobao.com/item.htm?id=696253690169,
35,oversize无袖球衣女夏季字母印花新款修身,56.6,700+,茵曼旗舰店,北京,https://item.taobao.com/item.htm?id=753954706528,
36,Y2K篮球背心女夏季圆领新款中长款,60.5,1000+,Y2K潮流女装店,广州,https://item.taobao.com/item.htm?id=675992880102,
37,美式复古球衣女夏季圆领新款中长款,34.2,1000+,茵曼旗舰店,上海,https://item.taobao.com/item.htm?id=774981129727,
38,美式复古篮球背心女夏季格纹新款宽松,61.7,1200+,辣妹穿搭研究所,杭州,https://item.taobao.com/item.htm?id=616678827686,
39,宽松球衣女夏季撞色新款宽松,52.6,700+,球迷服饰旗舰店,杭州,https://item.taobao.com/item.htm?id=717446623110,
40,ins风运动卫衣女夏季撞色新款修身,29.5,600+,ONLY官方旗舰店,上海,https://item.taobao.com/item.htm?id=672001522799,
41,千禧球迷服女夏季数字刺绣新款宽松,60.5,800+,潮牌集合店,北京,https://item.taobao.com/item.htm?id=707683744291,
42,oversize棒球服女夏季长款新款宽松,42.9,900+,太平鸟女装旗舰店,杭州,https://item.taobao.com/item.htm?id=606034567811,
43,Y2K球衣女夏季撞色新款修身,85.0,800+,Y2K潮流女装店,杭州,https://item.taobao.com/item.htm?id=661587740595,
44,Y2K球衣女夏季数字刺绣新款中长款,65.5,1000+,潮牌集合店,上海,https://item.taobao.com/item.htm?id=626784570757,
45,宽松运动卫衣女夏季v领新款宽松,161.1,700+,球迷服饰旗舰店,佛山,https://item.taobao.com/item.htm?id=758407190655,
46,潮牌球迷服女夏季短款新款宽松,62.4,600+,茵曼旗舰店,苏州,https://item.taobao.com/item.htm?id=722242253161,
47,美式复古棒球服女夏季短款新款修身,82.2,700+,Y2K潮流女装店,广州,https://item.taobao.com/item.htm?id=758096955529,
48,潮牌短袖球衣女夏季短款新款中长款,95.8,600+,学院风女装店,杭州,https://item.taobao.com/item.htm?id=778260680603,
49,宽松棒球服女夏季v领新款中长款,61.0,600+,拉夏贝尔旗舰店,北京,https://item.taobao.com/item.htm?id=766124600751,
50,美式复古球迷服女夏季数字刺绣新款修身,72.9,900+,运动潮流店,上海,https://item.taobao.com/item.htm?id=622906615544,
