rank,title,price,sold,shop,location,url,image
22,辣妹球迷服女夏季v领新款修身,122.0,900+,美式复古工厂店,杭州,https://item.taobao.com/item.htm?id=746343540448,
23,辣妹棒球外套女夏季圆领新款宽松,37.7,1700+,学院风女装店,苏州,https://item.taobao.com/item.htm?id=744542727654,
24,美式复古棒球外套女夏季圆领新款中长款,118.1,900+,太平鸟女装旗舰店,深圳,https://item.taobao.com/item.htm?id=693276434087,
25,辣妹运动卫衣女夏季格纹新款修身,94.6,800+,韩都衣舍旗舰店,上海,https://item.taobao.com/item.htm?id=644074762269,
26,高街T恤女夏季格纹新款中长款,97.3,1200+,运动潮流店,北京,https://item.taobao.com/item.htm?id=752825714896,
27,宽松无袖球衣女夏季拼接新款宽松,176.6,900+,ONLY官方旗舰店,杭州,https://item.taobao.com/item.htm?id=715426012227,
28,街头球衣女夏季v领新款宽松,186.0,1000+,拉夏贝尔旗舰店,深圳,https://item.taobao.com/item.htm?id=644095594763,
29,vintage篮球背心女夏季长款新款宽松,50.1,1400+,ONLY官方旗舰店,深圳,https://item.taobao.com/item.htm?id=780490264411,
30,辣妹无袖球衣女夏季短款新款修身,87.3,1500+,Y2K潮流女装店,北京,https://item.taobao.com/item.htm?id=608328960121,
31,ins风运动卫衣女夏季拼接新款中长款,100.9,900+,辣妹穿搭研究所,杭州,https://item.taobao.com/item.htm?id=654016034349,
32,千禧棒球服女夏季长款新款宽松,164.6,700+,拉夏贝尔旗舰店,杭州,https://item.taobao.com/item.htm?id=784464011309,
33,Y2K球迷服女夏季数字刺绣新款中长款,64.4,1000+,ONLY官方旗舰店,成都,https://item.taobao.com/item.htm?id=786312010303,
34,高街球衣女夏季撞色新款中长款,66.4,1000+,潮牌集合店,北京,https://item.taobao.com/item.htm?id=722256193353,
35,甜酷短袖球衣女夏季格纹新款修身,87.0,1100+,辣妹穿搭研究所,北京,https://item.taobao.com/item.htm?id=785692346671,
36,千禧短袖球衣女夏季v领新款宽松,19.5,800+,潮牌集合店,深圳,https://item.taobao.com/item.htm?id=792063833217,
37,学院T恤女夏季长款新款宽松,187.2,1100+,ONLY官方旗舰店,上海,https://item.taobao.com/item.htm?id=744722839084,
38,甜酷棒球服女夏季格纹新款宽松,45.1,900+,韩都衣舍旗舰店,佛山,https://item.taobao.com/item.htm?id=718132122691,
39,oversize棒球外套女夏季条纹新款宽松,62.7,1000+,Y2K潮流女装店,佛山,https://item.taobao.com/item.htm?id=667116373481,
40,千禧T恤女夏季数字刺绣新款中长款,24.7,600+,学院风女装店,上海,https://item.taobao.com/item.htm?id=658868621966,
41,ins风无袖球衣女夏季长款新款修身,111.8,900+,学院风女装店,广州,https://item.taobao.com/item.htm?id=757907026307,
42,学院T恤女夏季字母印花新款修身,58.5,900+,球迷服饰旗舰店,深圳,https://item.taobao.com/item.htm?id=662226471801,
43,千禧无袖球衣女夏季条纹新款宽松,176.8,1000+,辣妹穿搭研究所,广州,https://item.taobao.com/item.htm?id=711269412219,
44,街头棒球服女夏季数字刺绣新款中长款,82.3,700+,韩都衣舍旗舰店,成都,https://item.taobao.com/item.htm?id=670530083889,
45,oversize篮球背心女夏季条纹新款宽松,34.0,1000+,南极人女装旗舰店,广州,https://item.taobao.com/item.htm?id=668503060773,
46,辣妹棒球服女夏季撞色新款宽松,62.7,600+,韩都衣舍旗舰店,上海,https://item.taobao.com/item.htm?id=765811046549,
47,高街篮球背心女夏季拼接新款修身,402.2,600+,学院风女装店,深圳,https://item.taobao.com/item.htm?id=759240192326,
48,高街短袖球衣女夏季数字刺绣新款中长款,235.3,900+,韩都衣舍旗舰店,成都,https://item.taobao.com/item.htm?id=701625460323,
49,ins风棒球外套女夏季短款新款宽松,80.1,900+,学院风女装店,上海,https://item.taobao.com/item.htm?id=649115043306,
50,高街棒球外套女夏季圆领新款中长款,142.2,500+,运动潮流店,深圳,https://item.taobao.com/item.htm?id=673386658340,
51,甜酷短袖球衣女夏季条纹新款中长款,31.2,500+,球迷服饰旗舰店,苏州,https://item.taobao.com/item.htm?id=674476188230,
52,街头运动卫衣女夏季格纹新款宽松,48.6,500+,美式复古工厂店,佛山,https://item.taobao.com/item.htm?id=621548895733,
53,千禧短袖球衣女夏季长款新款中长款,72.2,900+,Y2K潮流女装店,北京,https://item.taobao.com/item.htm?id=790489575721,
54,甜酷运动卫衣女夏季圆领新款修身,421.9,700+,ONLY官方旗舰店,深圳,https://item.taobao.com/item.htm?id=732021301704,
55,千禧棒球外套女夏季撞色新款修身,80.6,700+,雪中飞女装专营店,苏州,https://item.taobao.com/item.htm?id=750558042822,
56,千禧球衣女夏季条纹新款宽松,36.5,400+,运动潮流店,佛山,https://item.taobao.com/item.htm?id=707654830307,
57,甜酷篮球背心女夏季撞色新款中长款,32.7,500+,Y2K潮流女装店,成都,https://item.taobao.com/item.htm?id=765812871723,
58,vintage短袖球衣女夏季格纹新款修身,61.1,600+,辣妹穿搭研究所,杭州,https://item.taobao.com/item.htm?id=772691134093,
59,辣妹运动卫衣女夏季数字刺绣新款宽松,66.6,600+,南极人女装旗舰店,深圳,https://item.taobao.com/item.htm?id=794510929383,
60,千禧T恤女夏季数字刺绣新款中长款,176.0,400+,茵曼旗舰店,深圳,https://item.taobao.com/item.htm?id=641436275618,
